area_pct latency_ns state_idx state_bits interface
22.894737 960.0 0 2-5-6 r10000_f0_fixed
21.973684 710.0 0 2-5-6 r10000_f0_blanking
20.131579 810.0 0 2-5-6 r1000_f0_fixed
20.394737 710.0 0 2-5-6 r1000_f0_blanking
22.763158 880.0 0 2-5-6 r1000_f100_fixed
21.907895 710.0 0 2-5-6 r1000_f100_blanking
20.657895 800.0 0 2-5-6 r330_f0_fixed
20.526316 710.0 0 2-5-6 r330_f0_blanking
17.631579 790.0 0 2-5-6 r330_f100_fixed
20.394737 710.0 0 2-5-6 r330_f100_blanking
25.789474 960.0 1 2-5-6-20 r10000_f0_fixed
24.473684 710.0 1 2-5-6-20 r10000_f0_blanking
23.026316 810.0 1 2-5-6-20 r1000_f0_fixed
22.894737 710.0 1 2-5-6-20 r1000_f0_blanking
25.657895 880.0 1 2-5-6-20 r1000_f100_fixed
24.342105 710.0 1 2-5-6-20 r1000_f100_blanking
23.552632 800.0 1 2-5-6-20 r330_f0_fixed
23.026316 710.0 1 2-5-6-20 r330_f0_blanking
20.526316 790.0 1 2-5-6-20 r330_f100_fixed
22.894737 710.0 1 2-5-6-20 r330_f100_blanking
25.065789 960.0 2 8-19-44-51 r10000_f0_fixed
23.815789 710.0 2 8-19-44-51 r10000_f0_blanking
22.434211 810.0 2 8-19-44-51 r1000_f0_fixed
22.434211 710.0 2 8-19-44-51 r1000_f0_blanking
24.671053 880.0 2 8-19-44-51 r1000_f100_fixed
23.815789 710.0 2 8-19-44-51 r1000_f100_blanking
22.631579 800.0 2 8-19-44-51 r330_f0_fixed
22.434211 710.0 2 8-19-44-51 r330_f0_blanking
22.434211 790.0 2 8-19-44-51 r330_f100_fixed
22.434211 710.0 2 8-19-44-51 r330_f100_blanking
24.539474 960.0 3 2-3-4-5 r10000_f0_fixed
23.750000 710.0 3 2-3-4-5 r10000_f0_blanking
21.907895 810.0 3 2-3-4-5 r1000_f0_fixed
22.302632 710.0 3 2-3-4-5 r1000_f0_blanking
24.078947 880.0 3 2-3-4-5 r1000_f100_fixed
23.289474 710.0 3 2-3-4-5 r1000_f100_blanking
22.500000 800.0 3 2-3-4-5 r330_f0_fixed
22.302632 710.0 3 2-3-4-5 r330_f0_blanking
22.236842 790.0 3 2-3-4-5 r330_f100_fixed
22.302632 710.0 3 2-3-4-5 r330_f100_blanking
30.394737 960.0 4 1-2-5-6-20-23 r10000_f0_fixed
29.473684 710.0 4 1-2-5-6-20-23 r10000_f0_blanking
27.434211 810.0 4 1-2-5-6-20-23 r1000_f0_fixed
27.434211 710.0 4 1-2-5-6-20-23 r1000_f0_blanking
30.197368 880.0 4 1-2-5-6-20-23 r1000_f100_fixed
28.947368 710.0 4 1-2-5-6-20-23 r1000_f100_blanking
28.157895 800.0 4 1-2-5-6-20-23 r330_f0_fixed
27.434211 710.0 4 1-2-5-6-20-23 r330_f0_blanking
27.500000 790.0 4 1-2-5-6-20-23 r330_f100_fixed
27.434211 710.0 4 1-2-5-6-20-23 r330_f100_blanking
30.592105 960.0 5 11-20-24-35-42-50 r10000_f0_fixed
29.473684 710.0 5 11-20-24-35-42-50 r10000_f0_blanking
27.960526 810.0 5 11-20-24-35-42-50 r1000_f0_fixed
27.763158 710.0 5 11-20-24-35-42-50 r1000_f0_blanking
30.197368 880.0 5 11-20-24-35-42-50 r1000_f100_fixed
29.671053 710.0 5 11-20-24-35-42-50 r1000_f100_blanking
28.223684 800.0 5 11-20-24-35-42-50 r330_f0_fixed
27.894737 710.0 5 11-20-24-35-42-50 r330_f0_blanking
27.631579 790.0 5 11-20-24-35-42-50 r330_f100_fixed
27.763158 710.0 5 11-20-24-35-42-50 r330_f100_blanking
30.592105 960.0 6 2-3-4-5-6-7 r10000_f0_fixed
30.394737 710.0 6 2-3-4-5-6-7 r10000_f0_blanking
28.092105 810.0 6 2-3-4-5-6-7 r1000_f0_fixed
28.092105 710.0 6 2-3-4-5-6-7 r1000_f0_blanking
30.000000 880.0 6 2-3-4-5-6-7 r1000_f100_fixed
29.605263 710.0 6 2-3-4-5-6-7 r1000_f100_blanking
28.421053 800.0 6 2-3-4-5-6-7 r330_f0_fixed
28.092105 710.0 6 2-3-4-5-6-7 r330_f0_blanking
28.552632 790.0 6 2-3-4-5-6-7 r330_f100_fixed
28.092105 710.0 6 2-3-4-5-6-7 r330_f100_blanking
