r_ohm filter_pf method false_trips late worst_ns samples guard_cycles
10000 0 raw 54 0 710.0 26 29
10000 0 fixed 0 0 960.0 26 29
10000 0 blanking 0 0 710.0 26 29
10000 100 raw 36 0 710.0 104 108
10000 100 fixed 0 9 1740.0 104 108
10000 100 blanking 0 3 1089.0 104 108
1000 0 raw 54 0 710.0 11 14
1000 0 fixed 0 0 810.0 11 14
1000 0 blanking 0 0 710.0 11 14
1000 100 raw 36 0 710.0 18 22
1000 100 fixed 0 0 880.0 18 22
1000 100 blanking 0 0 710.0 18 22
330 0 raw 39 0 710.0 10 13
330 0 fixed 0 0 800.0 10 13
330 0 blanking 0 0 710.0 10 13
330 100 raw 36 0 710.0 9 14
330 100 fixed 0 0 790.0 9 14
330 100 blanking 0 0 710.0 9 14
