area_pct latency_ns state_idx state_bits interface
45.413870 950.0 0 4 r10000_f0_fixed
45.861298 700.0 0 4 r10000_f0_blanking
36.912752 800.0 0 4 r1000_f0_fixed
38.478747 700.0 0 4 r1000_f0_blanking
35.570470 780.0 0 4 r330_f100_fixed
38.478747 700.0 0 4 r330_f100_blanking
45.861298 950.0 1 0 r10000_f0_fixed
48.993289 700.0 1 0 r10000_f0_blanking
37.583893 800.0 1 0 r1000_f0_fixed
42.058166 700.0 1 0 r1000_f0_blanking
34.675615 780.0 1 0 r330_f100_fixed
42.058166 700.0 1 0 r330_f100_blanking
46.085011 950.0 2 2 r10000_f0_fixed
48.993289 700.0 2 2 r10000_f0_blanking
37.807606 800.0 2 2 r1000_f0_fixed
42.058166 700.0 2 2 r1000_f0_blanking
35.346756 780.0 2 2 r330_f100_fixed
42.058166 700.0 2 2 r330_f100_blanking
45.413870 950.0 3 1 r10000_f0_fixed
48.993289 700.0 3 1 r10000_f0_blanking
37.583893 800.0 3 1 r1000_f0_fixed
42.505593 700.0 3 1 r1000_f0_blanking
34.675615 780.0 3 1 r330_f100_fixed
42.505593 700.0 3 1 r330_f100_blanking
